codig|Grupo|descricao TABELA DE NATUREZA JURÍDICA 2016   DOU nº 82, de 02 de maio de 2016, no qual foi publicada a Resolução Concla nº 1, de 28 de abril de 2016
101-5|1.Administração Pública|Órgão Público do Poder Executivo Federal
102-3|1.Administração Pública|Órgão Público do Poder Executivo Estadual ou do Distrito Federal
103-1|1.Administração Pública|Órgão Público do Poder Executivo Municipal
104-0|1.Administração Pública|Órgão Público do Poder Legislativo Federal
105-8|1.Administração Pública|Órgão Público do Poder Legislativo Estadual ou do Distrito Federal
106-6|1.Administração Pública|Órgão Público do Poder Legislativo Municipal
107-4|1.Administração Pública|Órgão Público do Poder Judiciário Federal
108-2|1.Administração Pública|Órgão Público do Poder Judiciário Estadual
110-4|1.Administração Pública|Autarquia Federal
111-2|1.Administração Pública|Autarquia Estadual ou do Distrito Federal
112-0|1.Administração Pública|Autarquia Municipal
113-9|1.Administração Pública|Fundação Pública de Direito Público Federal
114-7|1.Administração Pública|Fundação Pública de Direito Público Estadual ou do Distrito Federal
115-5|1.Administração Pública|Fundação Pública de Direito Público Municipal
116-3|1.Administração Pública|Órgão Público Autônomo Federal
117-1|1.Administração Pública|Órgão Público Autônomo Estadual ou do Distrito Federal
118-0|1.Administração Pública|Órgão Público Autônomo Municipal
119-8|1.Administração Pública|Comissão Polinacional
120-1|1.Administração Pública|Fundo Público
121-0|1.Administração Pública|Consórcio Público de Direito Público (Associação Pública)
122-8|1.Administração Pública|Consórcio Público de Direito Privado
123-6|1.Administração Pública|Estado ou Distrito Federal
124-4|1.Administração Pública|Município
125-2|1.Administração Pública|Fundação Pública de Direito Privado Federal
126-0|1.Administração Pública|Fundação Pública de Direito Privado Estadual ou do Distrito Federal
127-9|1.Administração Pública|Fundação Pública de Direito Privado Municipal
201-1|2.Entidades Empresariais|Empresa Pública
203-8|2.Entidades Empresariais|Sociedade de Economia Mista
204-6|2.Entidades Empresariais|Sociedade Anônima Aberta
205-4|2.Entidades Empresariais|Sociedade Anônima Fechada
206-2|2.Entidades Empresariais|Sociedade Empresária Limitada
207-0|2.Entidades Empresariais|Sociedade Empresária em Nome Coletivo
208-9|2.Entidades Empresariais|Sociedade Empresária em Comandita Simples
209-7|2.Entidades Empresariais|Sociedade Empresária em Comandita por Ações
212-7|2.Entidades Empresariais|Sociedade em Conta de Participação
213-5|2.Entidades Empresariais|Empresário (Individual)
214-3|2.Entidades Empresariais|Cooperativa
215-1|2.Entidades Empresariais|Consórcio de Sociedades
216-0|2.Entidades Empresariais|Grupo de Sociedades
217-8|2.Entidades Empresariais|Estabelecimento, no Brasil, de Sociedade Estrangeira
219-4|2.Entidades Empresariais|Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira
221-6|2.Entidades Empresariais|Empresa Domiciliada no Exterior
222-4|2.Entidades Empresariais|Clube/Fundo de Investimento
223-2|2.Entidades Empresariais|Sociedade Simples Pura
224-0|2.Entidades Empresariais|Sociedade Simples Limitada
225-9|2.Entidades Empresariais|Sociedade Simples em Nome Coletivo
226-7|2.Entidades Empresariais|Sociedade Simples em Comandita Simples
227-5|2.Entidades Empresariais|Empresa Binacional
228-3|2.Entidades Empresariais|Consórcio de Empregadores
229-1|2.Entidades Empresariais|Consórcio Simples
230-5|2.Entidades Empresariais|Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
231-3|2.Entidades Empresariais|Empresa Individual de Responsabilidade Limitada (de Natureza Simples)
232-1|2.Entidades Empresariais|Sociedade Unipessoal de Advogados
233-0|2.Entidades Empresariais|Cooperativas de Consumo
303-4|3.Entidades sem Fins Lucrativos|Serviço Notarial e Registral (Cartório)
306-9|3.Entidades sem Fins Lucrativos|Fundação Privada
307-7|3.Entidades sem Fins Lucrativos|Serviço Social Autônomo
308-5|3.Entidades sem Fins Lucrativos|Condomínio Edilício
310-7|3.Entidades sem Fins Lucrativos|Comissão de Conciliação Prévia
311-5|3.Entidades sem Fins Lucrativos|Entidade de Mediação e Arbitragem
313-1|3.Entidades sem Fins Lucrativos|Entidade Sindical
320-4|3.Entidades sem Fins Lucrativos|Estabelecimento, no Brasil, de Fundação ou Associação Estrangeiras
321-2|3.Entidades sem Fins Lucrativos|Fundação ou Associação Domiciliada no Exterior
322-0|3.Entidades sem Fins Lucrativos|Organização Religiosa
323-9|3.Entidades sem Fins Lucrativos|Comunidade Indígena
324-7|3.Entidades sem Fins Lucrativos|Fundo Privado
325-5|3.Entidades sem Fins Lucrativos|Órgão de Direção Nacional de Partido Político
326-3|3.Entidades sem Fins Lucrativos|Órgão de Direção Regional de Partido Político
327-1|3.Entidades sem Fins Lucrativos|Órgão de Direção Local de Partido Político
328-0|3.Entidades sem Fins Lucrativos|Comitê Financeiro de Partido Político
329-8|3.Entidades sem Fins Lucrativos|Frente Plebiscitária ou Referendária
330-1|3.Entidades sem Fins Lucrativos|Organização Social (OS)
331-0|3.Entidades sem Fins Lucrativos|Demais Condomínios
399-9|3.Entidades sem Fins Lucrativos|Associação Privada
401-4|4.Pessoas Físicas|Empresa Individual Imobiliária
402-2|4.Pessoas Físicas|Segurado Especial
408-1|4.Pessoas Físicas|Contribuinte individual
409-0|4.Pessoas Físicas|Candidato a Cargo Político Eletivo
411-1|4.Pessoas Físicas|Leiloeiro
412-0|4.Pessoas Físicas|Produtor Rural (Pessoa Física)
501-0|5.Organizações Internacionais e Outras Instituições Extraterritoriais|Organização Internacional
502-9|5.Organizações Internacionais e Outras Instituições Extraterritoriais|Representação Diplomática Estrangeira
503-7|5.Organizações Internacionais e Outras Instituições Extraterritoriais|Outras Instituições Extraterritoriais
