Conta	, Título, Tipo,	Ativa, Grau, Conta Superior, Origem, Natureza
1	, ATIVO	,A	,	True	,	1	,		,	D	,	D
10	,ATIVO CIRCULANTE	,A	,	True	,	1	,		,	D	,	D
100	,DISPONIBILIDADES	,	A	,	True	,	1	,		,	D	,	D
1000010	,Caixa Fornecedores de mercadorias	,	A	,	True	,	1	,		,	D	,	D
1000020	,Bancos Conta movimento Fornecedores de imobilizados	,	A	,	True	,	1	,		,	D	,	D
1000030	,Aplicações de Liquidez Imediata	,	A	,	True	,	1	,		,	D	,	D
101	,CLIENTES	,	A	,	True	,	1	,		,	D	,	D
1010010	,Duplicatas a receber Empréstimos bancários	,	A	,	True	,	1	,		,	D	,	D
1010020	,(-) Duplicatas descontadas Financiamentos bancários	,	A	,	True	,	1	,		,	D	,	C
10100130,(-) Créditos de liquidação duvidosa	,	A	,	True	,	1	,		,	D	,	C
102	,CRÉDITOS DIVERSOS	,	A	,	True	,	1	,		,	D	,	D
1020010	,Títulos a Receber Pis a recolher	,	A	,	True	,	1	,		,	D	,	D
1020020	,Empréstimos a receber Cofins a recolher	,	A	,	True	,	1	,		,	D	,	D
1020030	,Promissórias a receber	,	A	,	True	,	1	,		,	D	,	D
103	,ADIANTAMENTOS	,	A	,	True	,	1	,		,	D	,	D
1030010	,Adiantamento a funcionários ISSQN a recolher	,	A	,	True	,	1	,		,	D	,	D
1030020	,Adiantamento a fornecedores	,	A	,	True	,	1	,		,	D	,	D
104	,VALORES A RECUPERAR	,	A	,	True	,	1	,		,	D	,	D
1040010	,ICMS a recuperar 	,	A	,	True	,	1	,		,	D	,	D
1040020	,IRRF a recuperar	,	A	,	True	,	1	,		,	D	,	D
105	,APLICAÇÕES FINANCEIRAS	,	A	,	True	,	1	,		,	D	,	D
1050010	,Depósito a prazo fixo INSS a recolher	,	A	,	True	,	1	,		,	D	,	D
1050020	,Mercado de ações FGTS a depositar	,	A	,	True	,	1	,		,	D	,	D
1050030	,Aplicações em ouro	,	A	,	True	,	1	,		,	D	,	D
106	,ESTOQUES	,	A	,	True	,	1	,		,	D	,	D
1060010	,Estoque de mercadorias Pro-labore a pagar	,	A	,	True	,	1	,		,	D	,	D
1060020	,Estoque de material de consumo 	,	A	,	True	,	1	,		,	D	,	D
1060030	,Estoque de material de expediente	,	A	,	True	,	1	,		,	D	,	D
107	,DESPESAS ANTECIPADAS	,	A	,	True	,	1	,		,	D	,	D
1070010	,Prêmios de seguros a apropriar Água e esgoto a pagar	,	A	,	True	,	1	,		,	D	,	D
1070020	,Assinaturas de periódicos a apropriar Impostos e taxas	,	A	,	True	,	1	,		,	D	,	D
1070030	,Encargos financeiros a apropriar	,	A	,	True	,	1	,		,	D	,	D
11	,ATIVO REALIZÁVEL A LONGO PRAZO	,	A	,	True	,	1	,		,	D	,	D
110	,CRÉDITOS DIVERSOS	,	A	,	True	,	1	,		,	D	,	D
1100010	,Créditos com acionistas e quotistas 	,	A	,	True	,	1	,		,	D	,	D
11000120,Créditos com empresas ligadas 	,	A	,	True	,	1	,		,	D	,	D
11000130,Duplicatas a receber 	,	A	,	True	,	1	,		,	D	,	D
11000140,Promissórias a receber Fornecedores / Duplicatas a pagar	,	A	,	True	,	1	,		,	D	,	D
11000150,Depósitos a prazo fixo	,	A	,	True	,	1	,		,	D	,	D
12	,ATIVO PERMANENTE	,	A	,	True	,	1	,		,	D	,	D
